Имя,Full name,Home Reality,Occupation,Identity,Status,Date of Birth,Age,Species,Gender,Skin Color,Eye color,Hair color,Height,Appeared in,Alias(es),Base of operations,Alt. versions,Marital Status,Affiliation(s),Nationality,Relatives,Power,Speed,Precision,Endurance
Aaron Davis,,,,,,,,,,,,,,,,,,,,,,1,1,2,2
Abel Tesfaye,Abel Makkonen Tesfaye,Earth-1610,Singer,No-Dual,Alive,"February 16, 1990",33,Human,Male,Black,Brown,Black,1.73 m,Spider-Man: Into the Spider-Verse (mentioned),,,,,,,,1,1,2,4
Aleksei Sytsevich,Aleksei Sytsevich,Earth-616,,,Alive,,,,Male,,,,,Spider-Man: Into the Spider-Verse (deleted scene),CodenamesRhino,"New York City, New York",,,,,,3,2,2,2
Aleksei Sytsevich,Aleksei Sytsevich,Earth-67,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,CodenamesRhino,,Rhino,Single,,,,2,1,2,3
Aleksei Sytsevich,Aleksei Sytsevich,Rhino's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Rhino,,Rhino,Single,,,,2,1,4,4
Annihilape,,Earth-8311,,,Alive,,,Ape,,,,,,Spider-Ham: Caught in a Ham,,,,,,,,2,3,1,4
Archibald Dyker,Archibald Dyker,Earth-138,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,,,Diamondhead,Single,,,,1,1,2,1
Baked Clamurai,,Earth-8311,,,Alive,,,Clam,,,,,,Spider-Ham: Caught in a Ham,,,,,,,,5,5,3,4
Bruce Banner,Unknown,Buff Spider-Man's Home Reality,Superhero,Secret,Alive,,,Mutate,Male,,,,,Spider-Man: Across the Spider-Verse,"Codenames  Spider-Man, Buff Spider-Man",,Spider-Totems,Single,Spider-Society,,,1,2,4,3
Mysterio,Quentin Beck,Earth-42,"Supervillain, CEO of Mysterio's",Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse (mentioned),Codenames  Mysterio,,,Single,],American,,5,3,2,4
Ben Parker,Benjamin Parker,Earth-1610,,,Deceased,,,Human,Male,White (Fair),Hazel,Grayed,,Spider-Man: Into the Spider-Verse (flashback),Uncle Ben,New York,Ben Parker,,,,May Parker (wife)Peter Parker (nephew)Mary Jane Parker (niece-in-law),4,4,3,2
Ben Parker,Benjamin Franklin Parker,Earth-616,,,Deceased,1953,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (mentioned)Spider-Man: Across the Spider-Verse (hologram),Uncle Ben,New York,Ben Parker,,,,Peter Parker (nephew)Mary Jane Watson (ex-niece-in-law),1,2,2,4
Benjamin Parker,Benjamin Franklin Parker,Earth-90214,,,Deceased,,,Human,,,,,,,,,Ben Parker,,,,Peter Parker (nephew),1,5,1,2
Blackie Drago,Blackie Drago,Earth-1610,,,Alive,,,,Male,,,,,Spider-Man: Into the Spider-Verse (mentioned),,,,,,,,1,2,4,5
Boomerang,,Boomerang's reality,Supervillain,Secret,Alive,,,Human,Female,,,,,Spider-Man: Across the Spider-Verse,Codenames Boomerang,,Boomerang,Single,,,,2,5,1,5
Max Borne,Max Borne,Earth-9500,Superhero,Secret,Alive,,,Spider-Person,Male,White,,Brown,,Spider-Man: Across the Spider-Verse,Codenames  Spider-Man,,Spider-People,Single,Spider-Society,,,2,5,4,1
Betty Brant,Elizabeth Brant,Earth-65,MusicianStudent,No Dual,Alive,2000s,15-16,Human,Female,,,,,Spider-Man: Across the Spider-Verse,Betty Brant,"New York City, New York",,,Mary Janes,American,,5,4,2,4
Daniel Brito,Daniel Brito,Enforcers's reality,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames Fancy Dan,,Fancy Dan,Single,,,,5,2,2,5
Hobie Brown,Hobart Brown,Earth-138,"VigilanteGuitaristArtistProtester/Rioter  ""Runway model"" (""briefly"") [2]Spider-Society Employee (formerly)",Secret,Alive,1960s,16-17 [3],Human (enhanced),Male,Black (Black),Brown,Black,180 cm,Spider-Man: Across the Spider-VerseSpider-Man: Beyond the Spider-Verse (upcoming),CodenamesSpider-ManSpider-PunkDerivativesHobie BrownHobie,"Camden, New London [1]",Hobie BrownSpider-Man,Single,Spider-GangHobie Brown's BandSpider-Society (formerly),British,,1,4,4,5
Bruce Banner,,,,,,,,,,,,,,,,,,,,,,5,4,3,1
Bruce Banner,Robert Bruce Banner,Earth-616,,,Alive,,,,Male,,,,,Spider-Man: Into the Spider-Verse (deleted scene),CodenamesHulkIncredible Hulk,"New York City, New York",Bruce Banner,,Avengers (presumed),,,2,2,3,1
Bruno Sanchez,Bruno Sanchez,Earth-1610,Supervillain,Secret,Alive,,,Human,Male,,,,,Spider-Man: Into the Spider-Verse (photo),Codenames Ox,,Ox,Single,,,,5,1,2,4
Burglar,,Earth-616A,Burglar,No Dual,Not alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse(Hologram),Codenames The Burglar,,Burglar,Single,,,,4,1,2,2
Burglar,,Burglar's reality,Burglar,No Dual,Alive,,,Human,Male,,,,,Spider-Man: Across the Spider-Verse,Codenames The Burglar,,Burglar,Single,,,,2,4,1,4
